iata_code,icao_code,name,country,state,city,elevation,lat,lon,timezone
OEC,WPOC,Oecussi Airport,Oecusse,TL,Oecussi-Ambeno,0,124.34,-9.20,Asia/Dili
VIQ,WPVQ,Viqueque Airport,Viqueque,TL,Viqueque,500,126.37,-8.88,Asia/Dili
ABU,WRKA,Haliwen Airport,East-Nusa-Tenggara,ID,Atambua-Timor Island,1027,124.90,-9.07,Asia/Makassar
LKA,WRKL,Gewayentana Airport,East-Nusa-Tenggara,ID,Larantuka-Flores Island,57,122.98,-8.35,Asia/Makassar
SAU,WRKS,Sawu Airport,East-Nusa-Tenggara,ID,Sawu-Sawu Island,530,121.90,-10.48,Asia/Makassar
SGQ,WRLA,Sanggata Airport,East-Kalimantan,ID,Sanggata-Timor Island,434,117.33,0.50,Asia/Makassar
LBW,WRLB,Long Bawan Airport,North-Kalimantan,ID,Long Bawan-Borneo Island,3590,115.68,3.87,Asia/Makassar
BXT,WRLC,Bontang Airport,East-Kalimantan,ID,Bontang-Borneo Island,49,117.47,0.12,Asia/Makassar
NNX,WRLF,Nunukan Airport,East-Kalimantan,ID,Nunukan-Nunukan Island,52,117.67,4.14,Asia/Makassar
TNB,WRLH,Tanah Grogot Airport,East-Kalimantan,ID,Tanah Grogot-Borneo Island,17,116.20,-1.91,Asia/Makassar
LPU,WRLP,Long Apung Airport,East-Kalimantan,ID,Long Apung-Borneo Island,627,114.97,1.70,Asia/Makassar
QPG,WSAP,Paya Lebar Air Base,"",SG,"",65,103.91,1.36,Asia/Singapore
XSP,WSSL,Seletar Airport,"",SG,Seletar,36,103.87,1.42,Asia/Singapore
SIN,WSSS,Singapore Changi International Airport,North-East,SG,Singapore,22,103.99,1.35,Asia/Singapore
SKL,XBRO,Skye Bridge Ashaig Airport,Scotland,GB,Broadford,0,-5.83,57.25,Europe/London
ALH,YABA,Albany Airport,Western-Australia,AU,Albany,233,117.81,-34.94,Australia/Perth
ABG,YABI,Abingdon Downs Airport,Queensland,AU,"",0,143.17,-17.62,Australia/Brisbane
AWN,YADS,Alton Downs Airport,South-Australia,AU,"",0,139.27,-26.53,Australia/Adelaide
AUD,YAGD,Augustus Downs Airport,Queensland,AU,"",46,139.88,-18.51,Australia/Brisbane
MRP,YALA,Marla Airport,South-Australia,AU,"",328,133.63,-27.33,Australia/Adelaide
AXL,YALX,Alexandria Homestead Airport,Northern-Territory,AU,"",0,136.71,-19.06,Australia/Darwin
AXC,YAMC,Aramac Airport,Queensland,AU,"",232,145.24,-22.97,Australia/Brisbane
ADO,YAMK,Andamooka Airport,South-Australia,AU,"",76,137.14,-30.44,Australia/Adelaide
AMX,YAMM,Ammaroo Airport,Northern-Territory,AU,"",0,135.24,-21.74,Australia/Darwin
AMT,YAMT,Amata Airport,South-Australia,AU,"",695,131.21,-26.11,Australia/Adelaide
AYL,YANL,Anthony Lagoon Airport,Northern-Territory,AU,"",0,135.54,-18.02,Australia/Darwin
ABH,YAPH,Alpha Airport,Queensland,AU,"",1255,146.58,-23.65,Australia/Brisbane
ARY,YARA,Ararat Airport,Victoria,AU,"",1008,142.99,-37.31,Australia/Melbourne
GYL,YARG,Argyle Airport,Western-Australia,AU,"",522,128.45,-16.64,Australia/Perth
ARM,YARM,Armidale Airport,New-South-Wales,AU,Armidale,3556,151.62,-30.53,Australia/Sydney
AAB,YARY,Arrabury Airport,Queensland,AU,"",102,141.05,-26.70,Australia/Brisbane
AUU,YAUR,Aurukun Airport,Queensland,AU,"",31,141.72,-13.35,Australia/Brisbane
AWP,YAUS,Austral Downs Airport,Northern-Territory,AU,"",0,137.75,-20.50,Australia/Darwin
AVG,YAUV,Auvergne Airport,Northern-Territory,AU,"",0,130.00,-15.70,Australia/Darwin
AYQ,YAYE,Ayers Rock Connellan Airport,Northern-Territory,AU,Ayers Rock,1626,130.98,-25.19,Australia/Darwin
AYR,YAYR,Ayr Airport,Queensland,AU,"",41,147.33,-19.58,Australia/Brisbane
ACF,YBAF,Brisbane Archerfield Airport,Queensland,AU,Brisbane,63,153.01,-27.57,Australia/Brisbane
ABM,YBAM,Bamaga Injinoo Airport,Queensland,AU,"",34,142.46,-10.95,Australia/Brisbane
BCI,YBAR,Barcaldine Airport,Queensland,AU,Barcaldine,878,145.31,-23.57,Australia/Brisbane
ASP,YBAS,Alice Springs Airport,Northern-Territory,AU,Alice Springs,1789,133.90,-23.81,Australia/Darwin
BDD,YBAU,Badu Island Airport,Queensland,AU,"",14,142.17,-10.15,Australia/Brisbane
BKP,YBAW,Barkly Downs Airport,Queensland,AU,"",810,138.47,-20.50,Australia/Brisbane
BBE,YBBE,Big Bell Airport,Western-Australia,AU,Big Bell,0,117.67,-27.33,Australia/Perth
BNE,YBBN,Brisbane International Airport,Queensland,AU,Brisbane,13,153.12,-27.38,Australia/Brisbane
OOL,YBCG,Gold Coast Airport,Queensland,AU,Gold Coast,21,153.51,-28.16,Australia/Brisbane
BKQ,YBCK,Blackall Airport,Queensland,AU,Blackall,928,145.43,-24.43,Australia/Brisbane
CNS,YBCS,Cairns International Airport,Queensland,AU,Cairns,10,145.76,-16.89,Australia/Brisbane
CTL,YBCV,Charleville Airport,Queensland,AU,Charleville,1003,146.26,-26.41,Australia/Brisbane
BDW,YBDF,Bedford Downs Airport,Western-Australia,AU,"",1750,127.46,-17.29,Australia/Perth
BXG,YBDG,Bendigo Airport,Victoria,AU,"",705,144.33,-36.74,Australia/Hobart
BVI,YBDV,Birdsville Airport,Queensland,AU,"",159,139.35,-25.90,Australia/Brisbane
